Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Song Cau,2023-11-16 14:39:55.000000 ,25.64,88,6.31,1015,26.56,33,100,8031,Mưa nhẹ,Mưa
Bim Son,2023-11-16 14:39:55.000000 ,18.87,57,9.16,1025,18.3,9,100,10000,Mây u ám,Nắng
Cu Chi,2023-11-16 14:39:55.000000 ,30.01,84,3.77,1011,37.01,53,100,7348,Mưa vừa,Mưa
Uyen Hung,2023-11-16 14:39:56.000000 ,29.78,85,1.6,1011,36.78,16,100,10000,Mưa vừa,Mưa
Ben Tre,2023-11-16 14:39:56.000000 ,27.46,85,4.93,1011,31.42,82,100,5217,Mưa nhẹ,Mưa
Sa Dec,2023-11-16 14:39:56.000000 ,29.99,67,4.57,1010,34.31,81,100,10000,Mây u ám,Nắng
Ap Van Tu Tay,2023-11-16 14:39:56.000000 ,26.34,95,2.57,1015,26.34,35,100,2917,Mưa vừa,Mưa
Song Cau,2023-11-16 14:39:55.000000 ,25.64,88,6.31,1015,26.56,33,100,8031,Mưa nhẹ,Mưa
Ngo Chau,2023-11-16 14:39:56.000000 ,24.57,93,3.9,1016,25.51,32,100,10000,Mưa nhẹ,Mưa
Hoi An,2023-11-16 14:39:56.000000 ,27.98,84,9.71,1018,32.68,41,99,4507,Mây u ám,Nắng
Dong Ha,2023-11-16 14:39:56.000000 ,22.6,90,9.94,1020,23.27,15,100,10000,Mây u ám,Nắng
Bim Son,2023-11-16 14:39:55.000000 ,18.87,57,9.16,1025,18.3,9,100,10000,Mây u ám,Nắng
Phu Ly,2023-11-16 14:39:56.000000 ,19.03,55,7.41,1026,18.42,3,100,10000,Mây u ám,Nắng
Hai Ha,2023-11-16 14:39:56.000000 ,17.34,80,2.23,1026,17.22,352,100,10000,Mây u ám,Nắng
Ha Dong,2023-11-16 14:39:56.000000 ,22.01,51,5.55,1026,21.6,6,100,10000,Mây u ám,Nắng
Hau Duong,2023-11-16 14:39:56.000000 ,22.02,49,5.14,1027,21.56,340,0,10000,Không xác định,Nắng
Yen Lap,2023-11-16 14:39:56.000000 ,19.54,64,2.63,1027,19.22,1,99,10000,Mây u ám,Nắng
Thanh Ba,2023-11-16 14:39:56.000000 ,19.52,61,3.12,1027,19.12,355,99,10000,Mây u ám,Nắng
Doan Hung,2023-11-16 14:39:56.000000 ,19.51,62,2.62,1027,19.14,354,99,10000,Mây u ám,Nắng
Son Duong,2023-11-16 14:39:56.000000 ,18.43,71,1.44,1027,18.18,355,100,10000,Mây u ám,Nắng
