Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Viet Tri,2023-11-27 16:12:00.000000 ,27.97,49,0.28,1015,28.33,355,70,10000,Mây rải rác,Nắng
Soc Trang,2023-11-27 16:12:01.000000 ,28.07,77,5.37,1008,31.81,74,100,10000,Mây u ám,Nắng
Quang Ngai,2023-11-27 16:12:01.000000 ,23.89,78,4.58,1015,24.37,4,75,10000,Mây rải rác,Nắng
Thai Binh,2023-11-27 16:12:01.000000 ,25.74,58,4.91,1016,25.88,128,62,10000,Mây rải rác,Nắng
My Tho,2023-11-27 16:12:01.000000 ,28.04,77,0.92,1008,31.74,97,98,10000,Mây u ám,Nắng
Tuy Hoa,2023-11-27 16:12:01.000000 ,24.26,83,7.21,1013,24.91,9,98,10000,Mưa nhẹ,Mưa
Bac Lieu,2023-11-27 16:12:01.000000 ,27.21,82,7.47,1008,30.43,76,100,10000,Mây u ám,Nắng
Thanh Pho Uong Bi,2023-11-27 16:12:02.000000 ,25.99,60,2.51,1016,25.99,121,95,10000,Mây u ám,Nắng
Bac Giang,2023-11-27 16:12:02.000000 ,28.04,41,0.63,1015,27.77,186,40,10000,Mây rải rác,Nắng
Tay Ninh,2023-11-27 16:11:16.000000 ,30.17,58,2.11,1008,32.75,34,85,10000,Mây u ám,Nắng
Ninh Binh,2023-11-27 16:12:02.000000 ,27.54,49,4.08,1015,27.88,122,27,10000,Mây rải rác,Nắng
Tan An,2023-11-27 16:11:16.000000 ,32.01,72,0.51,1008,39.01,118,93,10000,Mây u ám,Nắng
Kon Tum,2023-11-27 16:12:03.000000 ,24.15,59,3.1,1012,24.16,57,95,10000,Mây u ám,Nắng
Tam Ky,2023-11-27 16:12:03.000000 ,24.48,74,3.81,1015,24.92,14,26,10000,Mây rải rác,Nắng
Vinh Long,2023-11-27 16:12:03.000000 ,29.99,70,1.25,1008,35.01,60,100,10000,Mây u ám,Nắng
Lao Cai,2023-11-27 16:12:03.000000 ,26.37,58,1.08,1016,26.37,126,78,10000,Mây rải rác,Nắng
Lagi,2023-11-27 16:12:04.000000 ,28.38,72,8.25,1007,31.73,80,88,10000,Mây u ám,Nắng
Rach Gia,2023-11-27 16:11:15.000000 ,28.02,78,2.73,1008,31.84,88,90,8216,Mây u ám,Nắng
Con Son,2023-11-27 16:12:04.000000 ,26.85,86,11.27,1008,29.94,66,98,10000,Mây u ám,Nắng
Cho Dok,2023-11-27 16:11:13.000000 ,30.86,57,3.33,1008,33.85,29,89,10000,Mây u ám,Nắng
Loc Ninh,2023-11-27 16:12:04.000000 ,29.6,56,3.4,1008,31.39,12,100,10000,Mây u ám,Nắng
Phan Rang-Thap Cham,2023-11-27 16:12:05.000000 ,27.15,68,7.75,1009,28.93,41,61,10000,Mây rải rác,Nắng
Kwang Binh,2023-11-27 16:12:05.000000 ,24.23,74,5.06,1016,24.64,31,52,10000,Mây rải rác,Nắng
Dien Bien Phu,2023-11-27 16:12:05.000000 ,26.64,49,1.02,1015,26.64,71,24,10000,Mây ít,Nắng
Turan,2023-11-27 16:08:38.000000 ,25.99,65,5.66,1016,25.99,360,20,10000,Mây ít,Nắng
Don Luan,2023-11-27 16:12:05.000000 ,29.97,70,1.39,1008,34.97,274,91,10000,Mây u ám,Nắng
Loc Ninh,2023-11-27 16:12:06.000000 ,29.6,56,3.4,1008,31.39,12,100,10000,Mây u ám,Nắng
Song Cau,2023-11-27 16:12:06.000000 ,24.63,79,7.81,1013,25.21,10,98,10000,Mây u ám,Nắng
Bim Son,2023-11-27 16:12:06.000000 ,26.16,57,4.37,1016,26.16,128,41,10000,Mây rải rác,Nắng
Cu Chi,2023-11-27 16:12:06.000000 ,32.01,72,0.87,1008,39.01,185,98,10000,Mây u ám,Nắng
Uyen Hung,2023-11-27 16:12:07.000000 ,31.78,74,1.69,1008,38.78,197,94,10000,Mây u ám,Nắng
Ben Tre,2023-11-27 16:12:07.000000 ,27.67,77,1.22,1008,30.9,92,99,10000,Mây u ám,Nắng
Sa Dec,2023-11-27 16:12:07.000000 ,29.99,70,1.75,1008,35.01,51,100,10000,Mây u ám,Nắng
Ap Van Tu Tay,2023-11-27 16:12:07.000000 ,27.34,75,5.38,1011,29.96,21,96,10000,Mây u ám,Nắng
Song Cau,2023-11-27 16:12:06.000000 ,24.63,79,7.81,1013,25.21,10,98,10000,Mây u ám,Nắng
Ngo Chau,2023-11-27 16:12:08.000000 ,24.04,80,5.21,1013,24.59,16,91,10000,Mây u ám,Nắng
Hoi An,2023-11-27 16:08:25.000000 ,25.98,72,4.58,1015,25.98,21,68,10000,Mây rải rác,Nắng
Dong Ha,2023-11-27 16:12:08.000000 ,23.94,80,2.89,1015,24.48,60,75,10000,Mây rải rác,Nắng
Bim Son,2023-11-27 16:12:06.000000 ,26.16,57,4.37,1016,26.16,128,41,10000,Mây rải rác,Nắng
Phu Ly,2023-11-27 16:11:15.000000 ,28.53,44,1.83,1015,28.48,112,72,10000,Mây rải rác,Nắng
Hai Ha,2023-11-27 16:12:09.000000 ,24.65,66,0.98,1016,24.89,94,90,10000,Mây u ám,Nắng
Ha Dong,2023-11-27 16:12:09.000000 ,28.01,41,0.8,1015,27.74,50,55,10000,Mây rải rác,Nắng
Hau Duong,2023-11-27 16:12:10.000000 ,28.02,51,1.03,1016,28.56,0,20,10000,Mây ít,Nắng
Yen Lap,2023-11-27 16:12:10.000000 ,27.57,51,1.38,1015,28.06,98,31,10000,Mây rải rác,Nắng
Thanh Ba,2023-11-27 16:12:10.000000 ,27.53,51,1.26,1015,28.02,125,60,10000,Mây rải rác,Nắng
Doan Hung,2023-11-27 16:12:10.000000 ,27.02,54,0.99,1015,27.69,183,64,10000,Mây rải rác,Nắng
Son Duong,2023-11-27 16:12:10.000000 ,27.32,51,0.96,1015,27.8,198,72,10000,Mây rải rác,Nắng
